BookId,Added,Author,AuthorId,AvgRating,Binding,Borrowed,Category,Entry,Language,Pages,Published,Rating,Read,Scheduled,Series,SeriesId,Shelf,Started,Title,Work
1367035,2016-11-24,Émile Zola,4750,3.61,Mass Market Paperback,False,novels,8,fr,370,1877,0,,,Les Rougon-Macquart,40441,ebooks,,Une Page d'amour,1776975
1367038,2016-11-24,Émile Zola,4750,3.85,Mass Market Paperback,False,novels,12,fr,508,1883,0,,,Les Rougon-Macquart,40441,ebooks,,La Joie de vivre,941672
1367052,2016-11-24,Émile Zola,4750,4.08,Mass Market Paperback,False,novels,15,fr,510,1887,0,,,Les Rougon-Macquart,40441,ebooks,,La Terre,1810722
1367070,2016-11-24,Émile Zola,4750,3.7,Paperback,False,novels,6,fr,453,1876,0,,2021-01-01,Les Rougon-Macquart,40441,ebooks,,Son Excellence Eugène Rougon,1356899
1367083,2019-09-14,Émile Zola,4750,3.89,Mass Market Paperback,False,novels,4,fr,508,1874,0,,2019-01-01,Les Rougon-Macquart,40441,pending,,La Conquête de Plassans,803050
1424361,2016-05-23,Honoré de Balzac,228089,3.66,Paperback,True,novels,65,,383,1833,0,,2020-01-01,La Comédie Humaine,56707,elsewhere,,Le Médecin De Campagne,2373173
1992920,2017-08-31,Kate Mosse,9343,3.76,Paperback,False,novels,2,,739,2007,0,,2020-01-01,Languedoc,43807,pending,,Sepulchre,1027521
2104289,2017-08-10,Ursula K. Le Guin,874602,3.96,,False,novels,5,,128,1972,0,,,Hainish Cycle,49359,pending,,The Word For World Is Forest,3256815
2205702,2017-06-01,Kurt Vonnegut,2778055,3.87,,False,novels,,en,320,1952,0,,,,,currently-reading,2019-11-29,Player Piano,1005005
2366570,2016-04-18,Honoré de Balzac,228089,3.55,Paperback,False,novels,62,fr,412,1829,4,2016-11-06,,La Comédie Humaine,56707,read,2016-09-08,Les Chouans,2373155
2800693,2018-04-04,Georges Simenon,9693,3.69,,False,novels,11,fr,183,1931,3,2019-09-20,,Inspector Maigret,67800,read,2019-09-19,Le Guinguette A Deux Sous,135491
2855034,2016-05-22,Terry Pratchett,1654,4.07,Hardcover,False,novels,,en,367,2008,0,,,,,pending,,Nation,34491
3071647,2017-08-31,Émile Zola,4750,3.63,Mass Market Paperback,False,novels,5,,512,1875,0,,2020-01-01,Les Rougon-Macquart,40441,pending,,La Faute de l'abbé Mouret,941617
3091710,2017-04-03,Iain M. Banks,5807106,4.07,Paperback,False,novels,8,en,593,2008,0,,,Culture,49118,pending,,Matter,871329
3110594,2017-04-06,Colette Becker,60014,0,Paperback,False,non-fiction,,fr,341,,0,,,,,pending,,Zola: Le saut dans les étoiles,3141872
6250169,2016-01-18,Terry Pratchett,1654,3.99,Hardcover,False,novels,37,en,417,2009,0,,2021-01-01,Discworld,40650,pending,,Unseen Academicals,6432996
6370766,2016-04-18,Kurt Vonnegut,2778055,3.94,Paperback,False,short-stories,,en,256,2008,0,,,,,pending,,Armageddon in Retrospect,2891580
6388919,2016-06-17,Fabien Vehlmann,761380,3.87,Hardcover,False,graphic,,fr,96,2009,0,,,,,to-read,,Jolies ténèbres,6577216
6731148,2016-12-19,Terry Pratchett,1654,3.98,Paperback,True,non-fiction,,en,469,2008,0,,,,,elsewhere,,The Folklore of Discworld,2436219
7022275,2016-05-21,Thomas Love Peacock,76177,4.5,Paperback,False,,,,378,1948,0,,,,,pending,,Novels,6508315
7576115,2016-05-22,Terry Pratchett,1654,4.35,Hardcover,True,novels,38,en,349,2010,0,,,Discworld,40650,elsewhere,,I Shall Wear Midnight,9934116
7828637,2016-08-15,Iain Banks,7628,3.85,Paperback,False,novels,,en,469,2009,0,,,,,pending,,Transition,6626240
7886744,2016-10-29,Chinua Achebe,8051,3.84,Paperback,True,novels,2,en,136,1960,0,,,The African Trilogy,168203,elsewhere,,No Longer at Ease,2568065
8310983,2016-10-29,Chinua Achebe,8051,3.81,Paperback,True,novels,3,en,232,1964,0,,,The African Trilogy,168203,elsewhere,,Arrow of God,630178
8852037,2019-04-22,Fabien Vehlmann,761380,3.45,Hardcover,True,graphic,51,fr,56,2010,0,,,Spirou et Fantasio,63180,elsewhere,,Alerte aux Zorkons,13727103
8882740,2016-07-16,Chinua Achebe,8051,3.65,Paperback,True,novels,1,en,152,1959,0,,,The African Trilogy,168203,elsewhere,,Things Fall Apart,825843
8935689,2016-05-29,Iain M. Banks,5807106,3.86,Paperback,False,novels,1,en,471,1987,3,2016-12-11,,Culture,49118,read,2016-11-19,Consider Phlebas,14366
9543421,2016-08-18,Iain M. Banks,5807106,4.25,Paperback,False,novels,9,en,627,2010,0,,,Culture,49118,pending,,Surface Detail,11345814
12640243,2016-12-19,Kate Mosse,9343,3.93,Paperback,True,novels,3,en,957,2011,0,,2021-01-01,Languedoc,43807,elsewhere,,Citadel,7703139
13069502,2019-04-22,Fabien Vehlmann,761380,3.48,Hardcover,True,graphic,52,fr,48,2011,0,,,Spirou et Fantasio,63180,elsewhere,,La Face Cachée Du Z,18235593
13499942,2016-04-20,Alexandre Dumas,4785,3.81,Paperback,False,short-stories,,fr,432,1849,4,2019-09-17,,,,read,2019-08-15,"Les Mille et Un Fantômes, précédé de La Femme au collier de velours",244749
15788554,2017-04-29,Ursula K. Le Guin,874602,4.06,Mass Market Paperback,False,novels,4,en,205,1969,0,,,Hainish Cycle,49359,pending,,The Left Hand of Darkness,817527
15995616,2019-04-10,Kurt Vonnegut,2778055,4.22,Paperback,True,novels,,en,176,1961,0,,2021-01-01,,,elsewhere,,Mother Night,1222244
16156698,2016-07-02,Iain M. Banks,5807106,4.11,Paperback,False,novels,,en,487,1993,4,2019-10-17,,,,read,2019-10-03,Against a Dark Background,809748
17119440,2016-04-18,Iain Banks,7628,3.78,Paperback,False,novels,,en,434,2012,0,,,,,pending,,Stonemouth,16252574
17242485,2017-08-23,Iain Banks,7628,4.05,,False,novels,,,512,1992,0,,,,,pending,,The Crow Road,950451
17280942,2019-04-22,Fabien Vehlmann,761380,3.44,Hardcover,True,graphic,53,fr,48,2012,0,,,Spirou et Fantasio,63180,elsewhere,,Dans les griffes de la vipère,23896775
