BookId,Author,AuthorId,Title,Work,Shelf,Category,Scheduled,Borrowed,Series,SeriesId,Entry,Binding,Published,Language,Pages,Added,Started,Read,Rating,AvgRating
833424,Terry Pratchett,1654,Reaper Man,1796454,read,novels,,False,Discworld,40650,11,Paperback,1991,en,287,2016-05-12,2019-09-08,2019-09-17,5,4.2800000000000002487
833426,Terry Pratchett,1654,Feet of Clay,3312754,read,novels,,False,Discworld,40650,19,Paperback,1996,,416,2016-05-22,2019-10-22,2019-10-30,4,4.2800000000000002487
833427,Terry Pratchett,1654,Witches Abroad,929672,read,novels,,False,Discworld,40650,12,Paperback,1991,en,288,2016-01-18,2018-07-01,2018-07-24,4,4.2199999999999997513
833436,Terry Pratchett,1654,Jingo,1128623,elsewhere,novels,2020-01-01,True,Discworld,40650,21,Paperback,1997,en,414,2016-05-12,,,0,4.1399999999999996803
833444,Terry Pratchett,1654,Mort,1857065,read,novels,,False,Discworld,40650,4,Paperback,1987,,320,2017-05-24,2018-01-05,2018-01-14,5,4.2300000000000004263
854442,Émile Zola,4750,Au Bonheur des Dames,1540214,pending,novels,,False,Les Rougon-Macquart,40441,11,Mass Market Paperback,1883,,525,2019-07-03,,,0,3.9900000000000002132
873150,Kurt Vonnegut,2778055,"God Bless You, Mr. Rosewater",4076,pending,novels,,False,,,,,1965,en,221,2018-11-15,,,0,3.9599999999999999645
881962,Kurt Vonnegut,2778055,Jailbird,1384043,pending,novels,,False,,,,Mass Market Paperback,1979,en,236,2018-05-05,,,0,3.8199999999999998401
886123,Iain Banks,7628,A Song Of Stone,1418638,pending,novels,,False,,,,Paperback,1997,en,280,2016-04-18,,,0,3.1699999999999999289
886124,Iain Banks,7628,The Business,1418704,elsewhere,novels,,True,,,,Paperback,1999,en,393,2019-01-25,,,0,3.4599999999999999645
886126,Iain Banks,7628,The Steep Approach to Garbadale,1280612,pending,novels,,False,,,,Paperback,2005,,390,2016-04-18,,,0,3.6699999999999999289
945456,Kurt Vonnegut,2778055,Bluebeard,6582745,read,novels,,False,,,,Paperback,1987,en,256,2016-05-29,2016-09-05,2016-09-07,4,4.0300000000000002487
956320,Alexandre Dumas,4785,Le Comte de Monte-Cristo II,19052285,read,novels,,False,Le Comte de Monte-Cristo,225265,2 of 2,Mass Market Paperback,1844,fr,674,2016-07-11,2017-04-22,2017-06-02,4,4.5199999999999995737
956321,Alexandre Dumas,4785,Les Trois Mousquetaires,1263212,read,novels,,False,The d'Artagnan Romances,55138,1,Mass Market Paperback,1844,fr,896,2016-04-21,2016-04-21,2016-05-30,5,4.0700000000000002842
956323,Alexandre Dumas,4785,Le Comte de Monte-Cristo I,41399325,read,novels,,False,Le Comte de Monte-Cristo,225265,1 of 2,Mass Market Paperback,1844,fr,703,2016-07-11,2017-02-19,2017-04-02,5,4.5099999999999997868
956325,Alexandre Dumas,4785,Vingt ans après,666376,read,novels,,False,The d'Artagnan Romances,55138,2,Paperback,1845,fr,904,2016-11-08,2018-10-04,2018-12-31,3,4.0300000000000002487
956343,Alexandre Dumas,4785,Le Vicomte de Bragelonne I,67441433,ebooks,novels,,False,Le vicomte de Bragelonne,261589,1,Paperback,1850,,897,2016-11-29,,,0,4.1399999999999996803
956690,Émile Zola,4750,L'Œuvre,28958,ebooks,novels,,False,Les Rougon-Macquart,40441,14,Mass Market Paperback,1886,fr,408,2016-11-24,,,0,3.9599999999999999645
956700,Émile Zola,4750,Germinal,941651,ebooks,novels,,False,Les Rougon-Macquart,40441,13,Mass Market Paperback,1885,fr,608,2016-11-24,,,0,4.1299999999999998934
956702,Émile Zola,4750,Le Docteur Pascal,1356866,ebooks,novels,,False,Les Rougon-Macquart,40441,20,Mass Market Paperback,1893,,471,2016-11-24,,,0,3.7700000000000000178
956703,Émile Zola,4750,Pot-Bouille,110658,ebooks,novels,,False,Les Rougon-Macquart,40441,10,Paperback,1882,fr,510,2016-11-24,,,0,3.9399999999999999467
1002666,Alexandre Dumas,4785,Le Vicomte de Bragelonne II,26588634,ebooks,novels,,False,Le vicomte de Bragelonne,261589,2,Paperback,1849,fr,893,2016-11-29,,,0,4.0999999999999996447
1002667,Alexandre Dumas,4785,Le Vicomte de Bragelonne III,26588974,ebooks,novels,,False,Le vicomte de Bragelonne,261589,3,Paperback,1850,fr,906,2016-11-29,,,0,4.2000000000000001776
1031449,Gaston Leroux,9057,Le Fantôme de l'Opéra,2259720,pending,novels,2020-01-01,False,,,,Mass Market Paperback,1910,fr,498,2016-04-18,,,0,3.9700000000000001954
1041744,James Fenimore Cooper,9121,The Last of the Mohicans,2064030,pending,novels,2020-01-01,False,The Leatherstocking Tales,81550,2,Paperback,1826,,433,2017-02-16,,,0,3.7000000000000001776
1291492,Iain Banks,7628,Espedair Street,554751,read,novels,,False,,,,,1987,,249,2016-10-31,2018-04-14,2018-04-19,3,3.8700000000000001066
1367032,Émile Zola,4750,Le Rêve,1504240,ebooks,novels,,False,Les Rougon-Macquart,40441,16,Paperback,1888,fr,286,2016-11-24,,,0,3.5699999999999998401
1367034,Émile Zola,4750,La Fortune des Rougon,303087,read,novels,,False,Les Rougon-Macquart,40441,1,Paperback,1870,fr,457,2016-06-19,2016-08-10,2016-09-04,4,3.8100000000000000533
1367035,Émile Zola,4750,Une Page d'amour,1776975,ebooks,novels,,False,Les Rougon-Macquart,40441,8,Mass Market Paperback,1877,fr,370,2016-11-24,,,0,3.6099999999999998757
1367038,Émile Zola,4750,La Joie de vivre,941672,ebooks,novels,,False,Les Rougon-Macquart,40441,12,Mass Market Paperback,1883,fr,508,2016-11-24,,,0,3.8500000000000000888
1367052,Émile Zola,4750,La Terre,1810722,ebooks,novels,,False,Les Rougon-Macquart,40441,15,Mass Market Paperback,1887,fr,510,2016-11-24,,,0,4.0800000000000000711
1367070,Émile Zola,4750,Son Excellence Eugène Rougon,1356899,ebooks,novels,2021-01-01,False,Les Rougon-Macquart,40441,6,Paperback,1876,fr,453,2016-11-24,,,0,3.7000000000000001776
1367083,Émile Zola,4750,La Conquête de Plassans,803050,pending,novels,2019-01-01,False,Les Rougon-Macquart,40441,4,Mass Market Paperback,1874,fr,508,2019-09-14,,,0,3.8900000000000001243
1424361,Honoré de Balzac,228089,Le Médecin De Campagne,2373173,elsewhere,novels,2020-01-01,True,La Comédie Humaine,56707,65,Paperback,1833,,383,2016-05-23,,,0,3.6600000000000001421
1992920,Kate Mosse,9343,Sepulchre,1027521,pending,novels,2020-01-01,False,Languedoc,43807,2,Paperback,2007,,739,2017-08-31,,,0,3.7599999999999997868
2104289,Ursula K. Le Guin,874602,The Word For World Is Forest,3256815,pending,novels,,False,Hainish Cycle,49359,5,,1972,,128,2017-08-10,,,0,3.9599999999999999645
2205702,Kurt Vonnegut,2778055,Player Piano,1005005,currently-reading,novels,,False,,,,,1952,en,320,2017-06-01,2019-11-29,,0,3.8700000000000001066
2366570,Honoré de Balzac,228089,Les Chouans,2373155,read,novels,,False,La Comédie Humaine,56707,62,Paperback,1829,fr,412,2016-04-18,2016-09-08,2016-11-06,4,3.5499999999999998224
2855034,Terry Pratchett,1654,Nation,34491,pending,novels,,False,,,,Hardcover,2008,en,367,2016-05-22,,,0,4.0700000000000002842
3071647,Émile Zola,4750,La Faute de l'abbé Mouret,941617,pending,novels,2020-01-01,False,Les Rougon-Macquart,40441,5,Mass Market Paperback,1875,,512,2017-08-31,,,0,3.6299999999999998934
3091710,Iain M. Banks,5807106,Matter,871329,pending,novels,,False,Culture,49118,8,Paperback,2008,en,593,2017-04-03,,,0,4.0700000000000002842
3110594,Colette Becker,60014,Zola: Le saut dans les étoiles,3141872,pending,,,False,,,,Paperback,,fr,,2017-04-06,,,0,0
6250169,Terry Pratchett,1654,Unseen Academicals,6432996,pending,novels,2021-01-01,False,Discworld,40650,37,Hardcover,2009,en,417,2016-01-18,,,0,3.9900000000000002132
6388919,Fabien Vehlmann,761380,Jolies ténèbres,6577216,to-read,graphic,,False,,,,Hardcover,2009,fr,96,2016-06-17,,,0,3.8700000000000001066
6731148,Terry Pratchett,1654,The Folklore of Discworld,2436219,elsewhere,non-fiction,,True,,,,Paperback,2008,en,469,2016-12-19,,,0,3.9799999999999999822
7022275,Thomas Love Peacock,76177,Novels,6508315,pending,,,False,,,,Paperback,1948,,378,2016-05-21,,,0,4.5
7576115,Terry Pratchett,1654,I Shall Wear Midnight,9934116,elsewhere,novels,,True,Discworld,40650,38,Hardcover,2010,en,349,2016-05-22,,,0,4.3499999999999996447
7828637,Iain Banks,7628,Transition,6626240,pending,novels,,False,,,,Paperback,2009,en,469,2016-08-15,,,0,3.8500000000000000888
7886744,Chinua Achebe,8051,No Longer at Ease,2568065,elsewhere,novels,,True,The African Trilogy,168203,2,Paperback,1960,en,136,2016-10-29,,,0,3.8399999999999998579
8310983,Chinua Achebe,8051,Arrow of God,630178,elsewhere,novels,,True,The African Trilogy,168203,3,Paperback,1964,en,232,2016-10-29,,,0,3.8100000000000000533
8852037,Fabien Vehlmann,761380,Alerte aux Zorkons,13727103,elsewhere,graphic,,True,Spirou et Fantasio,63180,51,Hardcover,2010,fr,56,2019-04-22,,,0,3.4500000000000001776
8882740,Chinua Achebe,8051,Things Fall Apart,825843,elsewhere,novels,,True,The African Trilogy,168203,1,Paperback,1959,en,152,2016-07-16,,,0,3.6499999999999999112
8935689,Iain M. Banks,5807106,Consider Phlebas,14366,read,novels,,False,Culture,49118,1,Paperback,1987,en,471,2016-05-29,2016-11-19,2016-12-11,3,3.8599999999999998757
9543421,Iain M. Banks,5807106,Surface Detail,11345814,pending,novels,,False,Culture,49118,9,Paperback,2010,en,627,2016-08-18,,,0,4.25
12640243,Kate Mosse,9343,Citadel,7703139,elsewhere,novels,2021-01-01,True,Languedoc,43807,3,Paperback,2011,en,957,2016-12-19,,,0,3.9300000000000001599
13069502,Fabien Vehlmann,761380,La Face Cachée Du Z,18235593,elsewhere,graphic,,True,Spirou et Fantasio,63180,52,Hardcover,2011,fr,48,2019-04-22,,,0,3.4799999999999999822
13499942,Alexandre Dumas,4785,"Les Mille et Un Fantômes, précédé de La Femme au collier de velours",244749,read,short-stories,,False,,,,Paperback,1849,fr,432,2016-04-20,2019-08-15,2019-09-17,4,3.8100000000000000533
15788554,Ursula K. Le Guin,874602,The Left Hand of Darkness,817527,pending,novels,,False,Hainish Cycle,49359,4,Mass Market Paperback,1969,en,205,2017-04-29,,,0,4.0599999999999996092
15995616,Kurt Vonnegut,2778055,Mother Night,1222244,elsewhere,novels,2021-01-01,True,,,,Paperback,1961,en,176,2019-04-10,,,0,4.2199999999999997513
16156698,Iain M. Banks,5807106,Against a Dark Background,809748,read,novels,,False,,,,Paperback,1993,en,487,2016-07-02,2019-10-03,2019-10-17,4,4.1100000000000003197
17119440,Iain Banks,7628,Stonemouth,16252574,pending,novels,,False,,,,Paperback,2012,en,434,2016-04-18,,,0,3.7799999999999998046
17242485,Iain Banks,7628,The Crow Road,950451,pending,novels,,False,,,,,1992,,512,2017-08-23,,,0,4.0499999999999998224
17280942,Fabien Vehlmann,761380,Dans les griffes de la vipère,23896775,elsewhere,graphic,,True,Spirou et Fantasio,63180,53,Hardcover,2012,fr,48,2019-04-22,,,0,3.4399999999999999467
17735116,Kurt Vonnegut,2778055,The Sirens of Titan,905970,pending,novels,2020-01-01,False,,,,Paperback,1959,en,224,2016-04-18,,,0,4.1600000000000001421
18109791,Ursula K. Le Guin,874602,The Dispossessed,2684122,read,novels,,False,Hainish Cycle,49359,6,Paperback,1974,en,319,2016-07-05,2017-12-23,2017-12-28,4,4.2099999999999999645
18131144,Terry Pratchett,1654,Guards! Guards!,1128601,read,novels,,False,Discworld,40650,8,Paperback,1989,en,412,2016-01-18,2017-04-02,2017-04-07,5,4.3300000000000000711
18231105,Iain Banks,7628,Dead Air,919765,pending,novels,,False,,,,Paperback,2002,en,448,2016-04-18,,,0,3.5099999999999997868
18363319,Émile Zola,4750,La Confession de Claude,13840022,library,novels,,True,,,,Mass Market Paperback,1865,fr,312,2018-02-26,,,0,3.1600000000000001421
18591321,Ann Leckie,3365457,Ancillary Justice,24064628,pending,novels,,False,Imperial Radch,113751,1,Paperback,2013,en,386,2017-09-26,,,0,3.9799999999999999822
20493713,Terry Pratchett,1654,Good Omens,4110990,pending,novels,,False,,,,Hardcover,1990,en,424,2016-10-07,,,0,4.25
20555440,Terry Pratchett,1654,Raising Steam,16202400,pending,novels,,False,Discworld,40650,40,Paperback,2013,en,480,2017-05-04,,,0,3.9700000000000001954
